video_id,channel_name,category
iG9CE55wbtY,TED,talk show
zIwLWfaAg-8,TED,talk show
arj7oStGLkU,TED,talk show
eIho2S0ZahI,TED,talk show
6Af6b_wyiwI,TED,talk show
DFjIi2hxxf0,TED,talk show
KM4Xe6Dlp0Y,TED,talk show
GZGY0wPAnus,TED,talk show
8KkKuTCFvzI,TED,talk show
Ks-_Mh1QhMc,TED,talk show
0NbBjNiw4tk,BigThink,knowledge
WEDIj9JBTC8,BigThink,knowledge
9I_u4oZqF8c,BigThink,knowledge
HGqFxjQI3is,BigThink,knowledge
e-or_D-qNqM,BigThink,knowledge
IDj1OBG5Tpw,BigThink,knowledge
eqX38J9ya1I,BigThink,knowledge
DBG1Wgg32Ok,BigThink,knowledge
_WjUFuW2J0A,BigThink,knowledge
nDLb8_wgX50,HubermanLab,podcast
50BZQRT1dAg,HubermanLab,podcast
tLRCS48Ens4,HubermanLab,podcast
QmOF0crdyRU,HubermanLab,podcast
IAnhFUUCq6c,HubermanLab,podcast
K4Ze-Sp6aUE,HubermanLab,podcast
DkS1pkKpILY,HubermanLab,podcast
9tRohh0gErM,HubermanLab,podcast
hFL6qRIJZ_Y,HubermanLab,podcast
wTBSGgbIvsY,HubermanLab,podcast
T3FC7qIAGZk,LexFridman,podcast
f_lRdkH_QoY,LexFridman,podcast
sY8aFSY2zv4,LexFridman,podcast
JN3KPFbWCy8,LexFridman,podcast
gPfriiHBBek,LexFridman,podcast
tYrdMjVXyNg,LexFridman,podcast
uZN5xjoS6TU,LexFridman,podcast
mC43pZkpTec,LexFridman,podcast
DxREm3s1scA,LexFridman,podcast
gk4tEO4jDUM,LexFridman,podcast
wBv1XhkeS_0,OxfordUnion,debate
y7merqKCuWg,OxfordUnion,debate
Jy9tNyp03M0,OxfordUnion,debate
f7CW7S0zxv4,OxfordUnion,debate
UZMIbo_DxJk,OxfordUnion,debate
-1NFirxhXWE,OxfordUnion,debate
PUDyDIEbc8Q,OxfordUnion,debate
Lq0iua0r0KQ,OxfordUnion,debate
qxF_CDDJ0YI,OxfordUnion,debate
_YQ94jFg_4A,OxfordUnion,debate
f-wWBGo6a2w,JordanBPeterson,talk show
gqS1ov4lSI0,JordanBPeterson,talk show
SH63RABGK6w,JordanBPeterson,talk show
zQCTeGKHsVc,JordanBPeterson,talk show
rTBGNEliczc,JordanBPeterson,talk show
N2lLPBiD_d0,JordanBPeterson,talk show
PfH8IG7Awk0,JordanBPeterson,talk show
I8Xc2_FtpHI,JordanBPeterson,talk show
Dck8eZCpglc,JordanBPeterson,talk show
dPv1RYsi7sA,JordanBPeterson,talk show
